contig_name	length	gc
contig00001	14238	68.18
contig00002	24908	59.85
contig00003	34005	65.42
contig00004	24132	62.8
contig00005	82914	66.15
contig00006	44834	62.86
contig00007	26514	64.91
contig00008	29643	66.27
contig00009	65232	65.76
contig00010	11747	63.47
contig00011	81528	64.51
contig00012	10574	47.63
contig00013	224090	65.22
contig00014	85144	65.25
contig00015	71582	65.78
contig00016	46515	64.68
contig00017	79224	64.88
contig00018	98486	64.95
contig00019	65479	65.07
contig00020	16785	64.8
contig00021	38343	64.3
contig00022	7153	52.75
contig00023	84671	65.34
contig00024	28006	65.32
contig00025	117230	64.64
contig00026	23413	59.92
contig00027	103316	64.63
contig00028	15773	65.26
contig00029	18892	61.2
contig00030	45285	63.34
contig00031	141386	65.35
contig00032	155035	65.76
contig00033	6324	62.9
contig00034	145697	66.07
contig00035	31306	64.6
contig00036	38855	68.57
contig00037	61022	64.51
contig00038	25103	65.08
contig00039	17326	65.34
contig00040	24311	65.08
contig00041	55163	64.46
contig00042	20641	65.05
contig00043	58963	62.01
contig00044	26248	65.11
contig00045	1869	62.39
